"Name","Tab","Quantity","Price","Total"
"500% increased chance of Speed Modifiers - 84","32032137","1","15","15"
"500% increased chance of Speed Modifiers - 80","32032137","8","10","80"
"500% increased chance of Resistance Modifiers - 80","32032137","8","5","40"
"500% increased chance of Resistance Modifiers - 70","32032137","2","2","4"
"500% increased chance of Resistance Modifiers - 1","32032137","1","2","2"
"500% increased chance of Physical Modifiers - 80","32032137","25","3","75"
"500% increased chance of Physical Modifiers - 70","32032137","3","1","3"
"500% increased chance of Minion Modifiers - 80","32032137","4","5","20"
"500% increased chance of Minion Modifiers - 70","32032137","1","3","3"
"500% increased chance of Mana Modifiers - 80","32032137","21","4","84"
"500% increased chance of Mana Modifiers - 70","32032137","3","1","3"
"500% increased chance of Lightning Modifiers - 80","32032137","16","4","64"
"500% increased chance of Lightning Modifiers - 70","32032137","8","1","8"
"500% increased chance of Lightning Modifiers - 1","32032137","3","1","3"
"500% increased chance of Life Modifiers - 80","32032137","24","5","120"
"500% increased chance of Life Modifiers - 70","32032137","6","1","6"
"500% increased chance of Gem Modifiers - 80","32032137","1","15","15"
"500% increased chance of Gem Modifiers - 70","32032137","3","10","30"
"500% increased chance of Gem Modifiers - 1","32032137","1","9.2","9.2"
"500% increased chance of Fire Modifiers - 84","32032137","1","8.3","8.3"
"500% increased chance of Fire Modifiers - 80","32032127","17","4","68"
"500% increased chance of Fire Modifiers - 70","32032137","2","1","2"
"500% increased chance of Fire Modifiers - 1","32032137","1","1","1"
"500% increased chance of Defence Modifiers - 80","32032137","26","5","130"
"500% increased chance of Defence Modifiers - 70","32032137","3","1","3"
"500% increased chance of Defence Modifiers - 1","32032137","1","1","1"
"500% increased chance of Cold Modifiers - 80","32032137","23","4","92"
"500% increased chance of Cold Modifiers - 70","32032137","5","1","5"
"500% increased chance of Chaos Modifiers - 84","32032137","1","10","10"
"500% increased chance of Chaos Modifiers - 80","32032137","10","5","50"
"500% increased chance of Chaos Modifiers - 70","32032137","1","3","3"
"500% increased chance of Chaos Modifiers - 1","32032137","1","2","2"
"500% increased chance of Attribute Modifiers - 80","32032137","12","5","60"
"500% increased chance of Attribute Modifiers - 70","32032137","3","1","3"
"300% increased chance of Suffix Modifiers - 80","32032137","6","4.6","27.599999999999998"
"300% increased chance of Suffix Modifiers - 1","32032137","1","1","1"
"300% increased chance of Elemental Modifiers - 80","32032137","15","4","60"
"300% increased chance of Elemental Modifiers - 70","32032137","4","1","4"
"300% increased chance of Elemental Modifiers - 1","32032137","1","1","1"
"300% increased chance of Caster Modifiers - 80","32032137","17","5","85"
"300% increased chance of Caster Modifiers - 70","32032137","2","1","2"
"300% increased chance of Caster Modifiers - 1","32032137","4","1","4"
"300% increased chance of Attack Modifiers - 84","32032137","1","5","5"
"300% increased chance of Attack Modifiers - 80","32032137","18","5","90"
"300% increased chance of Attack Modifiers - 70","32032137","2","1","2"
"300% increased chance of Attack Modifiers - 1","32032137","1","1","1"
"300% increased chance for Prefix Modifiers - 80","32032137","5","5","25"
"300% increased chance for Prefix Modifiers - 70","32032137","3","1","3"
"40% increased Effect of Undead Corpses adjacent to this Corpse - 80","32032127","9","8.8","79.2"
"40% increased Effect of Undead Corpses adjacent to this Corpse - 70","32032127","2","3","6"
"40% increased Effect of Humanoid Corpses adjacent to this Corpse - 80","32032128","5","5","25"
"40% increased Effect of Humanoid Corpses adjacent to this Corpse - 70","32032127","2","2","4"
"40% increased Effect of Demon Corpses adjacent to this Corpse - 80","32032137","6","5","30"
"40% increased Effect of Demon Corpses adjacent to this Corpse - 70","32032127","1","2","2"
"40% increased Effect of Demon Corpses adjacent to this Corpse - 1","32032127","3","1","3"
"40% increased Effect of Construct Corpses adjacent to this Corpse - 80","32032132","5","4","20"
"40% increased Effect of Construct Corpses adjacent to this Corpse - 70","32032132","1","1","1"
"40% increased Effect of Construct Corpses adjacent to this Corpse - 1","32032127","1","1","1"
"40% increased Effect of Beast Corpses adjacent to this Corpse - 80","32032137","5","10","50"
"40% increased Effect of Beast Corpses adjacent to this Corpse - 70","32032137","2","2.4","4.8"
"25% increased Effect of Corpses in this Grave Row - 80","32032137","1","10","10"
"25% increased Effect of Corpses in this Grave Column - 80","43577710","3","5","15"
"25% increased Effect of Corpses in this Grave Column - 70","32032128","1","2","2"
"25% chance to Fracture an Explicit Modifier - 80","32032137","2","10","20"
"25% chance to create a Split Copy - 80","32032128","4","5","20"
"25% chance to create a Mirrored Copy - 80","32032139","1","10","10"
"20% chance to craft an additional Item - 80","32032137","3","350","1050"
"5% chance for Undead Corpses to not be consumed when Exorcising, up to 50% - 80","32032128","11","4","44"
"5% chance for Humanoid Corpses to not be consumed when Exorcising, up to 50% - 80","32032128","8","3.5","28"
"5% chance for Humanoid Corpses to not be consumed when Exorcising, up to 50% - 70","32032127","2","1","2"
"5% chance for Demon Corpses to not be consumed when Exorcising, up to 50% - 80","32032127","7","4","28"
"5% chance for Construct Corpses to not be consumed when Exorcising, up to 50% - 80","32032128","10","4","40"
"5% chance for Construct Corpses to not be consumed when Exorcising, up to 50% - 1","32032127","3","1","3"
"5% chance for Beast Corpses to not be consumed when Exorcising, up to 50% - 80","32032139","7","3","21"
"5% chance for Beast Corpses to not be consumed when Exorcising, up to 50% - 70","32032137","1","1","1"
"Speed Modifiers are 300% scarcer - 80","32032127","7","4","28"
"Speed Modifiers are 300% scarcer - 70","32032137","1","2","2"
"Speed Modifiers are 300% scarcer - 1","32032137","1","1","1"
"Resistance Modifiers are 300% scarcer - 80","32032127","9","15","135"
"Resistance Modifiers are 300% scarcer - 70","32032127","3","8","24"
"Reroll Modifier Values of each Explicit Modifier 6 times, keeping the best outcome - 80","32032137","2","8","16"
"Reroll Implicit Modifier Values 6 times, keeping the best outcome - 80","32032139","3","3.58","10.74"
"Reroll Implicit Modifier Values 6 times, keeping the best outcome - 70","32032128","1","1","1"
"Reforge socket numbers 200 times, keeping the greatest number of sockets - 80","32032128","11","4","44"
"Reforge socket numbers 200 times, keeping the greatest number of sockets - 70","32032128","1","1","1"
"Reforge socket numbers 200 times, keeping the greatest number of sockets - 1","32032132","1","1","1"
"Reforge socket numbers 30 times, keeping the greatest number of sockets - 70","32032128","2","2","4"
"Reforge socket links 200 times, keeping the greatest number of links - 80","32032127","12","4","48"
"Reforge socket links 200 times, keeping the greatest number of links - 70","32032128","2","1","2"
"Reforge socket links 20 times, keeping the greatest number of links - 70","32032128","1","3","3"
"Randomises the numeric values of base Defences on an Armour 6 times, keeping the best outcome - 80","32032139","1","5","5"
"Randomises the numeric values of base Defences on an Armour 6 times, keeping the best outcome - 70","32032166","1","4","4"
"Physical Modifiers are 300% scarcer - 80","32032132","5","5","25"
"Physical Modifiers are 300% scarcer - 70","32032132","1","2","2"
"Mana Modifiers are 300% scarcer - 80","32032127","6","10","60"
"Mana Modifiers are 300% scarcer - 70","32032128","2","4","8"
"Lightning Modifiers are 300% scarcer - 80","32032127","12","4","48"
"Lightning Modifiers are 300% scarcer - 70","32032137","2","1","2"
"Life Modifiers are 300% scarcer - 80","32032127","13","5","65"
"Life Modifiers are 300% scarcer - 70","32032128","3","2","6"
"Life Modifiers are 300% scarcer - 1","32032137","1","1","1"
"Item sells for much more to Vendors, Requires at least 2 other Corpses of the same Monster Name - 80","32032128","2","5","10"
"Item is Corrupted, 50% increased chance for Corruption Implicit Modifiers - 80","32032137","8","4.9","39.2"
"Item is Corrupted, 50% increased chance for Corruption Implicit Modifiers - 70","32032137","2","1","2"
"Haunted by Tyche Grattus - 80","43577710","1","5","5"
"Haunted by Lilius Nevalius - 80","32032139","1","4","4"
"Haunted by Albanus Phrecia - 80","32032139","1","4","4"
"Gem Modifiers are 300% scarcer - 80","43577710","1","20","20"
"Fire Modifiers are 300% scarcer - 80","32032127","10","3","30"
"Fire Modifiers are 300% scarcer - 70","32032137","5","1","5"
"Fire Modifiers are 300% scarcer - 1","32032127","1","1","1"
"Elemental Modifiers are 150% scarcer - 80","32032127","9","11","99"
"Defence Modifiers are 300% scarcer - 80","32032128","4","5","20"
"Defence Modifiers are 300% scarcer - 70","32032137","1","2","2"
"Critical Modifiers are 300% scarcer - 80","32032127","4","5","20"
"Critical Modifiers are 300% scarcer - 70","32032128","2","2","4"
"Creates an Opal Ring, Requires at least 1 other Corpse of the same Monster Name - 80","32032132","2","5","10"
"Creates an Iolite Ring, Requires at least 1 other Corpse of the same Monster Name - 80","32032137","2","5","10"
"Creates a Vermillion Ring, Requires at least 1 other Corpse of the same Monster Name - 80","32032128","2","5","10"
"Creates a Steel Ring, Requires at least 1 other Corpse of the same Monster Name - 80","32032139","1","5","5"
"Creates a Cerulean Ring, Requires at least 1 other Corpse of the same Monster Name - 80","32032139","1","4","4"
"Corpses in adjacent Graves and this Corpse have their crafting outcomes randomised when this Corpse is buried - 80","32032137","32","4","128"
"Corpses in adjacent Graves and this Corpse have their crafting outcomes randomised when this Corpse is buried - 70","32032166","6","1","6"
"Cold Modifiers are 300% scarcer - 80","32032127","9","4","36"
"Chaos Modifiers are 300% scarcer - 80","32032132","4","5","20"
"Chaos Modifiers are 300% scarcer - 1","32032137","1","2","2"
"Caster Modifiers are 150% scarcer - 80","32032132","4","4","16"
"Caster Modifiers are 150% scarcer - 70","32032127","2","1","2"
"Attribute Modifiers are 300% scarcer - 80","32032132","5","8","40"
"Attribute Modifiers are 300% scarcer - 70","32032132","1","4","4"
"Attack Modifiers are 150% scarcer - 80","32032128","7","7","49"
"Attack Modifiers are 150% scarcer - 70","32032137","2","3","6"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 80","32032137","11","5","55"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 70","32032137","4","1","4"
"Armour can roll Haunted Modifiers, 150% increased chance of Haunted Modifiers - 1","32032137","1","1","1"
"Armour can roll Haunted Modifiers, 50% increased chance of Haunted Modifiers - 70","32032137","2","3","6"
"-1 Explicit Modifiers - 80","32032128","10","5","50"
"-1 Explicit Modifiers - 70","32032128","3","1","3"
"-1 Explicit Modifiers - 1","32032127","2","1","2"
"+50 to Modifier Tier Rating - 80","32032132","11","5","55"
"+50 to Modifier Tier Rating - 70","32032132","2","2","4"
"+50 to Modifier Tier Rating - 1","32032132","1","2","2"
"+5% to Quality, up to 30% - 80","32032127","34","4","136"
"+5% to Quality, up to 30% - 70","32032127","4","1","4"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 80","32032128","9","3.52","31.68"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 70","32032128","4","1","4"
"+1 to minimum number of Linked Sockets, up to a maximum of 5 - 1","32032132","1","1","1"
"+1 to Item Level - 80","32032127","50","3","150"
"+1 to Item Level - 70","32032127","4","1","4"
"+1 to Item Level - 1","32032132","1","1","1"
"+1 Explicit Modifier - 80","32032127","56","3","168"
"+1 Explicit Modifier - 70","32032127","7","1","7"
"+1 Explicit Modifier - 1","32032128","2","1","2"